id,type,address,number,postal_code,municipality,province,location,public,available,hours,coord_x,coord_y,Latitude AED,Longitude AED
10718.0,,Rue du Grand-Serment,31.0,1000,Bruxelles,Bruxelles-Brussel,,Y,,,50.8504,4.3488,50.8502607,4.3418847
10719.0,,Rue Paul Pastur,,7500,Tournai,Hainaut,,Y,,,50.58736666666667,3.3838666666666666,50.58736666666667,3.3838666666666666
10720.0,,Rue Pierre Dupont,167.0,1140,Bruxelles,Bruxelles-Brussel,,Y,,,50.8744,4.399,50.8744,4.399
10721.0,,Rue du pont d Arcole,14.0,7340,Colfontaine,Hainaut,,Y,,,50.40935,3.84505,50.4336715,3.84505
10722.0,,Rue Général Leman,4.0,7340,Colfontaine,Hainaut,,Y,,,50.40935,3.84505,50.40935,3.84505
10723.0,,Sentier de Liernes,,7340,Colfontaine,Hainaut,,Y,,,50.40935,3.84505,50.4029986,3.8595589
10724.0,,Chaussée de la Cour,,7340,Colfontaine,Hainaut,,Y,,,50.40935,3.84505,50.4177147,3.838687
10725.0,,Rue du Grand Passage,,7340,Colfontaine,Hainaut,,Y,,,50.40935,3.84505,50.40935,3.84505
10726.0,,Av Docteur Schweitzer,1.0,7340,Colfontaine,Hainaut,,Y,,,50.40935,3.84505,50.40935,3.84505
10727.0,,Rue du Vieux Moulin,103.0,1160,Bruxelles,Bruxelles-Brussel,,Y,,,50.8167,4.4333,50.8167,4.4333
10728.0,,Rue du Vieux Moulin,103.0,1160,Bruxelles,Bruxelles-Brussel,,Y,,,50.8167,4.4333,50.8167,4.4333
10729.0,,Mechelsesteenweg,194.0,2640,Mortsel,Antwerpen,,Y,,,51.167,4.4513,51.2016979,4.4129001
10730.0,,Lijsterstraat,1.0,1840,Londerzeel,Vlaams-Brabant,,Y,,,51.00696666666666,4.272433333333333,51.1465415,4.272433333333333
10731.0,,Square du Sacré-Cœur,2.0,1160,Bruxelles,Bruxelles-Brussel,,Y,,,50.8167,4.4333,50.8104564,4.4355992
10732.0,,avenue des Nymphes,2.0,1170,Bruxelles,Bruxelles-Brussel,,Y,,,50.8015,4.4144,50.8015,4.4144
10733.0,,rue Lambert Vandervelde,31.0,1170,Bruxelles,Bruxelles-Brussel,,Y,,,50.8015,4.4144,50.8015,4.4144
10734.0,,rue Gratès ,3.0,1170,Bruxelles,Bruxelles-Brussel,,Y,,,50.8015,4.4144,50.8015,4.4144
10735.0,,Place Antoine Gilson,1.0,1170,Bruxelles,Bruxelles-Brussel,,Y,,,50.8015,4.4144,50.798052,4.4166145
10736.0,,Quai des Usines,,1000,Bruxelles,Bruxelles-Brussel,,Y,,,50.8504,4.3488,50.631205,4.3488
10737.0,,Avenue des Arts,39.0,1040,Btuxelles,Bruxelles-Brussel,,Y,,,50.8327,4.3884,50.8327,4.3884
10738.0,,avenue des Métallurgistes ,5.0,1490,Court-Saint-Etienne,Brabant Wallon,,Y,,,50.6338,4.5685,50.6338,4.5685
10739.0,,rue de Laguesse,42.0,4430,Ans,Liège,,Y,,,50.6623,5.5203,50.6623,5.5203
